Epoch 2 Batch 3800 Loss 3.2204
Epoch 2 Batch 3900 Loss 3.0988
Epoch 2 Batch 4000 Loss 3.2494
Epoch 2 Batch 4100 Loss 3.3429
Epoch 2 Batch 4200 Loss 3.1582
Epoch 2 Batch 4300 Loss 3.6413
Epoch 2 Batch 4400 Loss 3.5834
Epoch 2 Batch 4500 Loss 3.3184
Epoch 2 Batch 4600 Loss 2.9569
Epoch 2 Batch 4700 Loss 3.6064
Epoch 2 Batch 4800 Loss 3.0711
Epoch 2 Batch 4900 Loss 3.1078
Epoch 2 Batch 5000 Loss 3.5137
Epoch 2 Batch 5100 Loss 3.3384
Epoch 2 Loss 3.3834
Time taken for 1 epoch 563.2445774078369 sec

Epoch 3 Batch 0 Loss 3.2959
Epoch 3 Batch 100 Loss 3.2003
Epoch 3 Batch 200 Loss 3.1601
Epoch 3 Batch 300 Loss 3.2785
Epoch 3 Batch 400 Loss 3.2830
Epoch 3 Batch 500 Loss 3.3516
Epoch 3 Batch 600 Loss 3.2355
Epoch 3 Batch 700 Loss 3.4293
Epoch 3 Batch 800 Loss 3.5173
Epoch 3 Batch 900 Loss 3.5721
Epoch 3 Batch 1000 Loss 3.4356
Epoch 3 Batch 1100 Loss 3.3770
Epoch 3 Batch 1200 Loss 3.5707
Epoch 3 Batch 1300 Loss 3.2264
Epoch 3 Batch 1400 Loss 3.0556
Epoch 3 Batch 1500 Loss 3.3491
Epoch 3 Batch 1600 Loss 3.4249
Epoch 3 Batch 1700 Loss 3.3616
Epoch 3 Batch 1800 Loss 2.9894
Epoch 3 Batch 1900 Loss 3.6746
Epoch 3 Batch 2000 Loss 3.2978
Epoch 3 Batch 2100 Loss 3.2626
Epoch 3 Batch 2200 Loss 3.1206
Epoch 3 Batch 2300 Loss 3.6889
Epoch 3 Batch 2400 Loss 3.1427
Epoch 3 Batch 2500 Loss 3.5600
Epoch 3 Batch 2600 Loss 3.1988
Epoch 3 Batch 2700 Loss 3.5878
Epoch 3 Batch 2800 Loss 3.2310
Epoch 3 Batch 2900 Loss 3.1465
Epoch 3 Batch 3000 Loss 3.5060
Epoch 3 Batch 3100 Loss 3.1369
Epoch 3 Batch 3200 Loss 3.2861
Epoch 3 Batch 3300 Loss 3.0226
Epoch 3 Batch 3400 Loss 3.3103
